side,cam,wait_min,T_start,T_end_prev
right,4,25.000600000000002,31.87890625,96.21875
right,4,30.00075,30.44921875,95.31640625
right,4,2.00055,47.3984375,94.9375
right,4,4.000566666666667,44.234375,98.10546875
right,4,8.000733333333333,39.4140625,98.5546875
right,5,5.0004333333333335,38.41796875,89.22265625
right,5,10.00055,35.75,91.359375
right,5,15.000566666666666,33.91796875,91.0546875
right,5,20.00048333333333,32.39453125,90.75
right,5,25.000600000000002,31.5546875,90.3671875
right,5,30.00075,30.1796875,90.140625
right,5,2.00055,43.98828125,89.91015625
right,5,4.000566666666667,40.9375,92.12109375
right,5,8.000733333333333,37.58203125,92.3515625
right,6,5.0004333333333335,36.4609375,76.51171875
right,6,10.00055,34.484375,78.26171875
right,6,15.000566666666666,33.0390625,78.03125
right,6,20.00048333333333,31.74609375,77.57421875
right,6,25.000600000000002,30.91015625,77.34765625
right,6,30.00075,29.921875,76.96875
right,6,2.00055,40.2578125,76.6640625
right,6,4.000566666666667,38.28515625,78.48828125
right,6,8.000733333333333,35.8515625,78.79296875
right,7,5.0004333333333335,35.47265625,67.609375
right,7,10.00055,33.80859375,69.046875
right,7,15.000566666666666,32.5234375,68.89453125
right,7,20.00048333333333,31.3125,68.58984375
right,7,25.000600000000002,30.78515625,68.2890625
right,7,30.00075,29.875,67.91015625
right,7,2.00055,38.421875,67.7578125
right,7,4.000566666666667,37.05859375,69.1953125
right,7,8.000733333333333,35.01953125,69.6484375
