scan,side,cam,frozen_temp,temp_glitches,stale_start_frames,T_start,T_end,tau_T_s,T_inf,rmse_T,tau2_fast_s,tau2_slow_s,rmse_T2,mean_light,mean_dark,tau_mean_s,mean0,mean_inf,tau_std_s,flicker_rms,flicker_pct
3,left,3,False,0,8,36.62109375,97.0234375,115.69950509346361,94.40870354701835,2.3287189152574324,27.142071727047888,383.8219800528376,0.3486404885954902,130.47961776632727,130.47880872839505,285.58925228675105,130.34509216235236,130.52059559633872,546.415668933748,0.018922900946511844,0.01450257233309834
3,right,0,False,0,12,32.09765625,73.17578125,53.10117093429615,71.90634321998537,1.3020573975341814,20.774303618535182,261.27756730823853,0.20462702381994374,998.568034614969,998.5361421358025,162.29450227932278,995.9333500682775,998.9806284247156,163.95541914989326,0.09083466282874497,0.009096492144750987
3,right,1,False,0,16,32.1640625,81.53515625,62.32775401632029,79.82560964894068,1.6143631087899082,23.760001823141536,279.42298083866564,0.27430273702745345,408.6056565270626,408.5259931975309,187.50301461076702,401.0344869675687,410.0064308120773,190.79179543288376,0.1954597926776365,0.04783580196587192
3,right,2,False,0,4,32.8046875,87.7265625,79.30401115131734,85.79506806945216,1.8995371485295982,27.142071727047888,316.67660669464817,0.281130726550984,160.8827719290364,160.87139745679013,200.6717317761445,159.83496144469666,161.09257502719254,279.38901463828313,0.030593078267201677,0.019015757809478784
3,right,3,False,0,8,32.5390625,93.98046875,94.17330187238241,91.8293637509971,2.0876296798035323,27.142071727047888,298.82857156525324,0.297639189354079,131.068002783124,131.06826727160495,287.0529298484429,130.94047812738347,131.10749350008,432.586262479134,0.019175122164897137,0.014629903376666146
4,left,0,False,0,16,34.3125,66.69140625,248.11864902018598,65.86864907489976,1.2704014643602,13.919172949902341,434.99443693979117,0.18038466623905863,752.0464067815036,751.8528613703703,193.6943617747061,742.8653271893288,753.7973228201681,182.29436862121878,0.5579069444477956,0.07418517519888737
4,left,1,False,0,4,34.84375,79.203125,172.72254563087625,77.49798695986642,1.9273123723140755,19.425243749395023,465.20427861516106,0.2626016958827274,287.43286257640386,287.37343082716046,201.59438289537422,284.6033379370694,287.99939719966153,207.56590637806153,0.14353020804564667,0.049935211568751726
4,left,2,False,0,8,34.40625,92.390625,136.9916126894987,90.0978882253631,2.3527452201840275,23.73138028737741,383.8219800528376,0.2410317167390213,148.3195483344532,148.3109177160494,191.09279921605955,147.6736094411737,148.44136066246344,605.2198320202517,0.027704289371436416,0.018678784882060605
4,left,3,False,0,12,34.5078125,96.1953125,136.5425756675734,93.61135449724453,2.4461532139887754,25.37949617194652,383.8219800528376,0.3171059183683197,130.4785783519813,130.47732093827162,284.6846498050549,130.35099592612542,130.51730515015115,687.8537330236536,0.01956712187001656,0.014996424790306918
4,right,0,False,0,8,30.88671875,72.94921875,61.085431168580854,71.43131478330194,1.4639473701746766,20.774303618535182,279.42298083866564,0.1826875047386874,998.9793311110949,998.9402166419752,139.71755674101752,996.3805128421769,999.32272984434,143.61909497814375,0.08983884412428515,0.008993063352408272
4,right,1,False,0,12,31.10546875,81.08203125,68.17188987047462,79.26246704926693,1.7744046752946392,23.760001823141536,319.5818572821296,0.24037500512168833,409.3806661157273,409.2829061358024,170.434432143101,401.60712974481334,410.6678081235745,167.0349283853952,0.19652469375344017,0.048005367624734105
4,right,2,False,0,16,31.3671875,87.2734375,86.17352118068702,85.11853401552256,2.0097386116262452,27.142071727047888,338.6694170345718,0.2731507605569177,160.97211958185005,160.95983608641976,186.94524253555278,159.8677449325782,161.1755689434189,273.8630278703778,0.03064810144817156,0.01903938491198646
4,right,3,False,0,4,31.484375,93.375,103.99507701805183,91.16233221905327,2.2333428203943244,27.142071727047888,316.67660669464817,0.27754421538365454,131.06871579504622,131.0699068271605,222.92411721722863,130.9385681755526,131.09846515649227,506.44794490019365,0.018238183491886547,0.013914978399884394
5,left,0,False,0,16,33.328125,66.3125,262.18079669513963,65.62844837165511,1.2789207116513435,13.919172949902341,465.20427861516106,0.18103189228831643,753.4546457426967,753.4242168024692,161.26799920082215,744.3650739950623,754.8556760835949,145.20658551486582,0.5623194064322624,0.07463215066886632
5,left,1,False,0,4,33.859375,78.8984375,183.363778426323,77.15915371894219,1.9484707830778005,19.425243749395023,465.20427861516106,0.2734334482002082,287.84723180508723,287.8360808765432,165.3326175474774,285.03408424190275,288.29394046855964,164.6982037554076,0.1453240374940886,0.05048651556687307
5,left,2,False,0,8,33.3515625,92.16796875,147.10873686415536,89.69867695012047,2.415435065856226,25.37949617194652,410.4779560016246,0.24458248664324433,148.36461926980218,148.36109313580246,177.64349470688484,147.71233473605912,148.47764637466975,671.2136766070453,0.02791767626121945,0.018816936543645184
5,left,3,False,0,12,33.30078125,95.890625,144.3456521418259,93.15762965184454,2.4871245383486453,25.37949617194652,383.8219800528376,0.3104420272268685,130.48020349499205,130.4778951111111,291.86930138058307,130.35977232983794,130.5181444719118,770.5093299421426,0.019533340033217897,0.01497034761596429
5,right,0,False,0,8,30.20703125,72.6484375,63.85966661951576,71.13657985786578,1.5031967927075287,20.774303618535182,296.1119846773757,0.1784118197615263,999.1899499195811,999.1664412962963,113.75829022676179,996.4585657933973,999.4762868347627,118.47895736932688,0.08908290421114178,0.008915512432677243
5,right,1,False,0,12,30.5,81.00390625,68.60307302108319,78.93894753177102,1.7581812758906172,25.37949617194652,338.6694170345721,0.24369599167588937,409.58158878937485,409.51544925925924,138.13006620429545,401.80176997027644,410.5936663613922,128.77475818747678,0.19639413192694202,0.04794994142862624
5,right,2,False,0,16,30.91015625,87.046875,88.35084688980439,84.79142151255486,2.035348201467768,27.142071727047888,338.6694170345721,0.26083264444682575,161.00388944464152,160.99843056790124,171.89469839398748,159.95050937782565,161.17999899271283,266.8021809813488,0.030779969854746257,0.01911753185647694
5,right,3,False,0,4,30.87890625,93.22265625,107.95998926157057,90.86329090975224,2.282446899631311,27.142071727047888,316.67660669464817,0.2765642500259585,131.05739448994242,131.05477786419755,214.45487127538928,130.9353806691039,131.08381343517155,530.928614743633,0.01832588915883252,0.013983102006685235
6,left,0,False,0,4,33.25390625,66.0859375,264.0171909768286,65.33703723962151,1.2801489951591374,13.919172949902341,465.20427861516106,0.19400523599425523,754.0040115164655,753.8547707777777,145.20658551486582,745.1389417895529,755.2160908625516,126.01325594268638,0.5600816826710046,0.07428099507647962
6,left,1,False,0,8,32.87109375,78.51953125,182.97292198054072,76.78841476581412,1.9439820404489199,19.425243749395023,465.20427861516106,0.2742598881085926,288.0308212870321,287.9866055679012,160.45823774921058,285.2984260133773,288.4503586907076,156.06850696222168,0.14423676537811492,0.05007685105837277
6,left,2,False,0,12,33.05078125,91.640625,151.10751063982877,89.3812527121004,2.4352774837432896,23.760001823141536,410.4779560016246,0.21349680560497988,148.3883839618306,148.3811354814815,169.3302590480355,147.7461154444019,148.49371483703717,670.7700195903625,0.028069459206146147,0.01891621059325395
6,left,3,False,0,16,33.078125,95.44140625,148.18709551121557,92.82344172211002,2.511881692264876,25.37949617194652,383.8219800528376,0.28549591282993564,130.47531904223882,130.47505579012346,367.8508989108243,130.36860274290052,130.52018979510595,791.8591360140597,0.019267569760409546,0.014767214138155928
6,right,0,False,0,16,30.43359375,72.421875,66.80468554329917,70.9689701234467,1.539873705037914,20.774303618535182,296.1119846773757,0.1885934749090224,999.2597010693894,999.2282566419753,112.22695437276082,996.6963320931214,999.5241679039403,114.04150965890047,0.0888945643741251,0.008896042167916085
6,right,1,False,0,4,30.57421875,80.62890625,71.39553669407124,78.76302576570225,1.811985036712959,23.760001823141536,319.5818572821296,0.2440982067347502,409.38420707418925,409.29266075308635,138.0328306657483,401.8365583809069,410.36467693788404,128.40518484707968,0.1968373178651071,0.04808131688124353
6,right,2,False,0,8,30.609375,86.8203125,89.58691739598854,84.58062172122416,2.0513251322223,27.142071727047888,338.6694170345718,0.2610562841981712,161.01210711093952,161.0038639506173,164.6982037554076,159.99527920463058,161.17373116688753,245.99371354974028,0.03069187892705594,0.01906184539645135
